65, 67, 64, 61, 67, 63, 67, 68, 73, 68, 71, 71, 69, 71, 65, 65, 67, 58, 65, 63, 65, 
66, 68, 62, 61, 62, 63, 68, 68, 69, 71, 72, 71, 68, 68, 68, 66, 68, 61, 65, 73, 68, 
66, 73, 77, 72, 66, 66, 65, 65, 64, 70, 69, 66, 67, 65, 64, 65, 68, 63, 66, 64, 73, 
55, 63, 64, 62, 67, 53, 68, 72, 77, 68, 75, 65, 71, 69, 70, 69, 70, 68, 69, 72, 69, 
64, 58, 67, 59, 64, 62, 70, 65, 67, 65, 70, 67, 70, 65, 76, 66, 69, 63, 59, 65, 66, 
63, 68, 67, 58, 71, 63, 70, 68, 65, 65, 60, 64, 75, 72, 73, 67, 73, 66, 66, 66, 65, 
59, 71, 74, 67, 73, 67, 70, 65, 66, 58, 81, 66, 76, 70, 67, 68, 71, 57, 65, 70, 67, 
60, 66, 71, 62, 71, 58, 69, 66, 65, 65, 69, 69, 75, 63, 72, 68, 71, 62, 68, 70, 68, 
64, 70, 64, 66, 67, 65, 64, 69, 61, 71, 68, 60, 70, 65, 69, 67, 64, 61, 63, 67, 63, 
68, 61, 80, 76, 68, 62, 73, 71, 69, 69, 67, 67, 71, 71, 63, 69, 69, 63, 73, 69, 74, 
55, 59, 60, 61, 70, 64, 70, 75, 67, 71, 73, 69, 65, 64, 64, 71, 65, 59, 64, 67, 65, 
56, 62, 66, 68, 67, 65, 72, 72, 71, 67, 64, 67, 69, 72, 74, 71, 76, 66, 57, 68, 68, 
53, 63, 67, 61, 67, 59, 71, 67, 63, 65, 66, 68, 68, 69, 76, 71, 65, 60, 73, 74, 73, 
65, 72, 64, 62, 66, 64, 68, 63, 66, 75, 74, 68, 65, 63, 69, 65, 67, 63, 62, 67, 71, 
61, 68, 71, 71, 73, 62, 74, 71, 65, 71, 75, 70, 66, 65, 72, 68, 68, 65, 61, 64, 70, 
61, 63, 64, 64, 67, 58, 74, 75, 67, 67, 71, 66, 76, 74, 73, 69, 76, 55, 69, 66, 67, 
63, 70, 67, 60, 70, 53, 63, 66, 64, 74, 71, 70, 72, 65, 63, 66, 69, 61, 64, 72, 70, 
59, 62, 64, 65, 67, 62, 69, 66, 66, 67, 68, 65, 62, 65, 65, 67, 66, 68, 70, 68, 69, 
66, 64, 67, 68, 63, 69, 69, 67, 69, 68, 68, 72, 76, 71, 81, 74, 77, 65, 70, 72, 72, 
52, 65, 69, 61, 70, 68, 68, 72, 65, 68, 65, 63, 70, 65, 67, 66, 67, 65, 67, 71, 71, 
62, 66, 70, 68, 66, 64, 74, 70, 73, 69, 74, 64, 64, 69, 69, 68, 65, 67, 74, 66, 65, 
47, 65, 69, 68, 69, 55, 68, 69, 72, 64, 78, 65, 72, 69, 66, 71, 71, 65, 70, 68, 62, 
58, 64, 70, 67, 63, 62, 65, 65, 65, 64, 66, 69, 70, 72, 68, 66, 68, 58, 70, 83, 70, 
56, 58, 66, 65, 68, 69, 67, 76, 72, 74, 80, 68, 67, 76, 69, 66, 67, 54, 67, 67, 67, 
59, 64, 72, 63, 61, 65, 67, 65, 71, 66, 79, 69, 68, 68, 64, 70, 71, 68, 71, 69, 62, 
58, 62, 62, 62, 67, 56, 72, 68, 69, 69, 71, 70, 67, 66, 71, 70, 69, 65, 67, 70, 64, 
60, 61, 64, 60, 59, 60, 67, 65, 68, 66, 68, 72, 71, 70, 78, 70, 67, 68, 64, 63, 59, 
63, 62, 65, 65, 66, 56, 74, 70, 67, 75, 69, 71, 73, 71, 70, 67, 68, 68, 68, 66, 65, 
